n,rel,escala,grupo,nome,name,x en,y en,x pt,y pt,texto,ENDEREÇO,TELEFONE,HORÁRIO DE FUNCIONAMENTO,E-MAIL,SITE,text,ADDRESS,PHONE,OPENING TIMES,E-MAIL,SITE,ARQUITETO,PERÍODO DE CONSTRUÇÃO,LOCALIZAÇÃO,TOMBAMENTO,ARCHITECT,CONSTRUCTION PERIOD,LOCATION,LISTING,ARTES,HISTÓRIA,NATUREZA,TÉCNICA,EDUCAÇÃO E CULTURA,MUSEU,ACERVO,PATRIMÔNIO CULTURAL,CENTRO DE EXTENSÃO,HERBARIO
8,,1,museu,Centro de Divulgação Científica e Cultural,Centre for Scientific and Cultural Dissemination,720,360,450,360,"O CDCC foi criado em 1980 e desde então vem colocando a disposição da população diversos recursos para a divulgação científica, esse potencial interativo permite ao CDCC estabelecer uma extensão entre a universidade e a comunidade. As exposições são constituídas por três espaços: Espaço Vivo de Biologia, Espaço de Física e o Jardim da Percepção. ","Rua Nove de Julho, 1227, centro, São Carlos, SP",+ 55 16 3373 8823,"Terça a Sexta: 8h00 às 18h00, Sábados: 9h00 ás 12h00",Adriana@cdcc.usp.br,www.cdcc.usp.br,"The Centre for Scientific and Cultural Dissemination was created in 1980 and has ever since provided the public with various resources for scientific dissemination. This interactive potential allows the Centre to establish a connection between the university and the community. The exhibitions consist of three spaces: Living Space for Biology, Physics Space and Perception Garden.
","Rua Nove de Julho, 1227, centro, São Carlos, SP",+ 55 16 3373 8823,"Tuesday to Friday: 8AM - 8PM, Saturdays 9AM - 12AM",Adriana@cdcc.usp.br,www.cdcc.usp.br,,,,,,,,,,,,1,1,,,,,1
14,23,1,museu,"Museu e Centro de Ciências, Educação e Artes Luiz de Queiroz","The Luiz de Queiroz Museum and Center for Sciences, Education and Arts",770,560,770,170,"A missão do Museu é preservar a memória da Pesquisa em Ciências Agrárias e promover a interação entre a Universidade e a Sociedade. Reúne um acervo de cerca de 3.000 itens, entre implementos agrícolas, equipamentos de laboratório, mobiliário, documentos textuais, fotografias e obras de arte, além de plantas e mapas. ","Av. Padua Dias,11, Piracicaba, SP",+55 19 3429 4305,"Segunda a Sexta feira: 8h00 às 17h00
",museulq@esalq.usp.br,www.esalq.usp.br/svcex/museu,"The Museum’s mission is to preserve the memory of research in agricultural sciences and to promote the interaction between the university and society. It holds a collection of around 3,000 items, including farm equipment, laboratory equipment, furniture, textual documents, photographs and art works, as well as plans and maps.","Av. Padua Dias,11, Piracicaba, SP",+55 19 3429 4305,Monday to Friday: 8AM - 5PM,museulq@esalq.usp.br,www.esalq.usp.br/svcex/museu,,,,,,,,,,,,1,1,1,,,,1
19,36,1,museu,Museu Republicano,Museum of the Republic,904,774,905,611,"O Museu Republicano foi inaugurado em 1923, em comemoração à “Convenção de Itu”, reunião política que marcou o movimento republicano na região paulista. O museu está instalado na casa que abrigou a Convenção e, desde sua criação, integra o Museu Paulista. Apresenta exposições relacionadas à história da Cidade de Itu, à residência do século 19, ao movimento republicano e à Primeira República. ","Rua Barão de Itaim, 67, Centro Histórico, Itu, SP",+55 11 4023 0240,Terça a Domingo: 9h00 às 17h00,mp@usp.br,www.mp.usp.br/mr,"The Republican Museum opened in 1923, in commemoration of the Itu Convention, a political meeting that marked the republican movement in Sao Paulo state. The museum is housed in the building where the convention was held and has been part of the Paulista Museum ever since its creation. It holds exhibitions related to the history of the city of Itu, housing in the nineteenth century, the republican movement and the First Brazilian Republic.","Rua Barão de Itaim, 67, Centro Histórico, Itu, SP
",+55 11 4023 0240,Tuesday to Sunday: 9AM - 5PM,mp@usp.br,www.mp.usp.br/mr,,,,,,,,,,1,,,,1,,1,,
20,,1,bem,Campus de Ribeirão Preto,Ribeirão Preto Campus,720,50,570,90,"A antiga Fazenda Monte Alegre, construída em 1874, deu origem ao Campus Ribeirão Preto pela desapropriação do Estado em em 1940 para a  instalação de uma escola de agricultura. Além do edifício sede, o Departamento de Obras Públicas (DOP) desenvolveu um plano para a implantação de outros equipamentos. ",,,,,,"The former Monte Alegre farm, built in 1874, became the Ribeirão Preto Campus through the State’s expropriation in 1940, with the intent of installing a school of agriculture in the area. Apart from the main building, the Department of Public Works developed a plan for the implantation of other equipments.",,,,,,"Departamento de Obras Públicas do Estado (DOP), Hernani do Val Penteado",1874- década de 1940,"Avenida Bandeirantes, 3900 – Monte Alegre, Ribeirão Preto, SP",Condephaat (1994),"State Department for Public Construction Works, Hernani do Val Penteado",1874-1940s,"Avenida Bandeirantes 3900, Ribeirão Preto, SP",Condephaat (1994),,1,1,,,,,1,,1
23,14,1,bem,Conjunto da Escola de Agricultura Luiz de Queiroz,The Luiz de Queiroz School of Agriculture Complex,798,588,797,278,"A ideia de construir uma escola de agricultura foi de Luiz de Queiroz, filho do Barão de Limeira. A aquisição da fazenda, o projeto para o edifício principal e o início das obras foram realizados com o seu investimento pessoal. No entanto, em 1892, com algumas obras já iniciadas, por questões financeiras, foi obrigado a doar a terra ao Governo do Estado de São Paulo. Em 1934, com a criação da USP, passa a compor essa Universidade.",,,,,,"Luiz de Queiroz, son of the Baron of Limeira, had the idea of constructing an agriculture school. The acquisition of the farm, the project of the main building and the beginning of the construction work were all sponsored by his personal investment. However, in 1892, due to financial problems, he had to donate the land to the Sao Paulo State government, after the construction was already in progress. In 1934, when the University of Sao Paulo was created, the complex became part of the university. ",,,,,,"Leon A. Morimont, José Van Humbeeck, Arséne Puttmans ",1896-1907,"Rua Pádua Dias, 11 – Campus de Piracicaba da USP, Piracicaba, SP",Condephaat (2006),"Leon A. Morimont, José Van Humbeeck, Arséne Puttmans ",1896-1907,"Rua Pádua Dias 11, Piracicaba Campus, Piracicaba, SP",Condephaat (2006),1,1,1,,,,,1,,1
26,,1,bem,Engenho São Jorge dos Erasmos,The São Jorge dos Erasmos Sugar Mill,940,790,1155,750,"Chamado inicialmente de “Engenho do Governador”, só adquiriu o nome atual em 1540, quando Erasmos Schetz (Bélgica) adquire a propriedade. Segundo estudo de Paul Meurs esteve ativo até o século XVIII. Alguns estudos apresentam como sendo o primeiro engenho de açúcar da América do Sul. Em 1958, o proprietário Otávio Ribeiro de Araújo doou o lote com as ruínas para a FFLCH. ",,,,,,"Initially called Governor’s Sugar Mill, it only acquired its current name in 1540, when Eramos Schetz (Belgium) acquired the property. According to a study by Paul Meurs, it had been active until the 18th century. Some studies present it as the first sugar mill in South America. In 1958, the proprietor Otávio Ribeiro de Araújo donated the lot with the ruins to the School of Philosophy, Languages and Humanities. ",,,,,,Autoria desconhecida,1532-1534,"Sopé do Morro da Nova Cintra ou Marapé, Santos, SP","Condephaat (1974), Condepasa (1990)",,1532-1534,"Morro da Nova Cintra foothill or Marapé, Santos, SP","Condephaat (1974), Condepasa (1990)",,1,1,1,,,,1,1,1
36,19,1,bem,Prédio do Museu Republicano,Museum of the Republic Building,860,730,850,598,"No edifício foi realizada a primeira assembleia de republicanos, em 18 de abril de 1873. Em 1921, o Estado adquiriu o imóvel da família Paula Leite de Barros para constituir um museu em memória ao movimento republicano e aos primeiros anos de República. A casa foi construída em taipa de pilão com divisórias em pau-a-pique e tem dois pavimentos. Está implantada sem recuos laterais ou frontais.",,,,,,"On 18 April 1873, the first republican assembly occurred in this building. In 1921, the State acquired the property from the Paula Leite de Barros family in order to construct a museum in memory of the Republican Movement and the first years of the Republic. The house has two floors and was built using rammed earth technique with partitions made of wattle and daub. It is implanted without frontal and lateral recesses.",,,,,,#REF!,década de 1850/1860,"Rua Barão de Itaim, 67 – Itu, SP","Iphan (1966), Condephaat (1980)",#REF!,1850s-1860s,"Rua Barão de Itaim 67, Itu, SP","Iphan (1966), Condephaat (1980)",,1,,,,,,1,,
39,,1,mapa,São Paulo,City of São Paulo,1060,850,1060,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,2,museu,Centro de Preservação Cultural,Centre for Cultural Preservation,858,330,858,330,"O CPC desenvolve atividades de cultura e extensão relacionadas à valorização e preservação e gestão do patrimônio cultural, promovendo a reflexão e ação sobre a conservação do patrimônio edificado e dos acervos históricos da Universidade por meio de cursos, seminários, oficinas e publicações. As atividades são orientadas para estimular o uso qualificado da Casa de Dona Yayá através de apresentações artísticas, exposições e visitas guiadas, buscando estreitar a relação entre a USP e a sociedade.","Rua Major Diogo, 353, Bela Vista, São Paulo, SP",+55 11 3106 3562,"Segunda a Sexta: 9h00 às 17h00, Domingos: Consultar programação",cpc3@usp.br,www.usp.br/cpc,"The Centre for Cultural Preservation carries out cultural and extension activities related to preserving, managing and recognising the value of cultural heritage, promoting thought and action on the conservation of the built heritage and the historical collections belonging to the University of Sao Paulo through courses, seminars, workshops and publications. The activities are oriented towards the encouragement of the public usage of Casa de Dona Yayá (Yayá’s House), through artistic presentations, exhibitions and guided tours, seeking to strengthen the relationship between the University and society.","Rua Major Diogo, 353, Bela Vista, São Paulo, SP",+55 11 3106 3562,"Monday to Friday: 9AM - 5PM, Sundays: Consult programming",cpc3@usp.br,www.usp.br/cpc,,,,,,,,,,,,,1,,,,,1
2,35,2,museu,Museu Paulista ,Paulista Museum,1234,355,1234,355,"O Museu Paulista da USP é uma instituição científica, cultural e educacional com atuação no campo da História da Cultura Material através de três linhas de pesquisa: Cotidiano e Sociedade; Universo do Trabalho e História do Imaginário, e cuja referência permanente é o acervo, que conta com mais de 125 mil peças. <br />O conjunto articulado destas atividades é a curadoria. Envolve a formação e ampliação de coleções, sua conservação física, seu estudo e documentação bem como a comunicação, seja do acervo, do conhecimento que ele permite gerar, através de exposições, cursos, programas educativos e publicações.","Parque da Independência, Ipiranga, São Paulo, SP",+55 11 2065 8000,Terça a Domingo: 9h00 às 17h00,mp@usp.br,www.mp.usp.br,"
The Paulista Museum of USP is a scientific, cultural and educational institution. It works within the field of the History of Material Culture through three lines of research —Everyday Life and Society, The Universe of Work and The History of Imaginary— whose permanent reference is the museum’s collection, which holds more than 125,000 pieces.<br />Curatorship is the articulation of these activities. It comprises the creation and expansion of collections, its material preservation, its study and documentation, as well as displaying the collection and conveying knowledge that can be generated from it, through exhibitions, courses, educational programmes and publications.
","Parque da Independência, Ipiranga, São Paulo, SP",+55 11 2065 8000,"Tuesday to Sunday: 9AM - 5PM

",mp@usp.br,www.mp.usp.br,,,,,,,,,1,1,,1,1,1,,1,,
