n,escala,grupo,nome,name,adress,city,country,x en,y en,en,x pt,y pt,pt
2,1,museu,Centro de Divulgação Científica e Cultural,Centre for Scientific and Cultural Dissemination,"Rua Nove de Julho, 1227",São Carlos,Brasil,730,360,tr,720,360,tl
15,1,museu,"Museu e Centro de Ciências, Educação e Artes Luiz de Queiroz","The Luiz de Queiroz Museum and Center for Sciences, Education and Arts","Av. Padua Dias, 11",Piracicaba,Brasil,790,590,bl,780,570,tl
18,1,museu,Museu Republicano,Museum of the Republic,"Rua Barão de Itaim, 67",Itu,Brasil,900,770,tl,900,770,bl
20,1,mapa,São Paulo,São Paulo,São Paulo,São Paulo,Brasil,,,,,,
26,1,bem,Engenho São Jorge dos Erasmos,The São Jorge dos Erasmos Sugar Mill,"Sopé do Morro da Nova Cintra ou Marapé, Santos, SP",Santos,Brasil,1180,990,br,1170,990,bl
29,1,bem,Prédio do Museu Republicano,Museum of the Republic Building,"Rua Barão de Itaim, 67",Itu,Brasil,890,760,tl,890,780,bl
35,1,bem,Conjunto da Escola de Agricultura Luiz de Queiroz,The Luiz de Queiroz School of Agriculture Complex,"Rua Pádua Dias, 11, Campus de Piracicaba da USP",Piracicaba,Brasil,780,600,bl,790,580,tl
36,1,bem,Campus de Ribeirão Preto,Ribeirão Preto Campus,Avenida Bandeirantes 3900,Ribeirão Preto,Brasil,720,90,tl,730,90,tr
3,2,museu,Centro de Preservação Cultural,Centre for Cultural Preservation,"Rua Major Diogo, 353, Bela Vista",São Paulo,Brasil,1050,330,tr,1050,330,tr
4,2,museu,Estação Ciência,Science Station,"Rua Guaicurus, 1394, Lapa",São Paulo,Brasil,730,130,br,720,120,tl
9,2,museu,Museu de Arte Contemporânea,Contemporary Art  Museum,"Av. Pedro Álvares Cabral, 1301, Ibirapuera",São Paulo,Brasil,980,550,tl,980,550,tl
12,2,museu,Museu de Ciências,Museum of Sciences,"Av. Miguel Estefano, 4200",São Paulo,Brasil,1140,940,bl,1140,940,bl
